code	description
4012	EnIn-stan/Eng_005
4013	EnIn-stan/Eng_011
4014	EnIn-stan/Eng_015
4015	EnIn-stan/Eng_036
4016	EnIn-stan/Eng_040
4017	EnIn-stan/Eng_041
4018	EnIn-stan/Eng_050
4019	EnIn-stan/Eng_058
4020	EnIn-stan/Eng_059
4021	EnIn-stan/Ind_064
4022	EnIn-stan/Ind_065
4023	EnIn-stan/Ind_072
4024	EnIn-stan/Ind_076
4025	EnIn-stan/Ind_077
4026	EnIn-stan/Ind_078
4027	EnIn-stan/Ind_083
4028	EnIn-stan/Ind_086
4039	EnIn-stan/Ind_087
4030	EnIn-stan/Ind_089
4101	EnIn-devi/Chi_003
4102	EnIn-devi/Chi_004
4103	EnIn-devi/Chi_006
4104	EnIn-devi/Chi_009
4105	EnIn-devi/Chi_012
4106	EnIn-devi/Chi_018
4107	EnIn-devi/Chi_023
4108	EnIn-devi/Chi_030
4109	EnIn-devi/Chi_038
4110	EnIn-devi/Chi_051
4111	EnIn-devi/Eng_001
4112	EnIn-devi/Eng_005
4113	EnIn-devi/Eng_011
4114	EnIn-devi/Eng_015
4115	EnIn-devi/Eng_036
4116	EnIn-devi/Eng_040
4117	EnIn-devi/Eng_041
4118	EnIn-devi/Eng_050
4119	EnIn-devi/Eng_058
4120	EnIn-devi/Eng_059
4121	EnIn-devi/Ind_064
4122	EnIn-devi/Ind_065
4123	EnIn-devi/Ind_072
4124	EnIn-devi/Ind_076
4125	EnIn-devi/Ind_077
4126	EnIn-devi/Ind_078
4127	EnIn-devi/Ind_083
4128	EnIn-devi/Ind_086
4139	EnIn-devi/Ind_087
4130	EnIn-devi/Ind_089
